x,y
12.4,78.6
12.2,77.7
12.1,78.0
11.9,78.3
11.7,77.5
11.6,77.6
15.1,77.8
14.9,77.7
14.6,77.1
14.5,77.0
14.2,76.6
14.2,76.3
14.3,76.0
14.3,75.8
14.0,83.0
13.8,81.0
13.8,80.0
13.8,79.7
14.6,79.5
14.1,79.3
13.7,79.1
13.5,78.9
13.4,78.8
13.5,78.7
13.4,78.6
13.0,78.5
12.5,78.4
12.4,78.2
12.5,78.1
6.3,63.0
6.3,62.7
6.3,62.2
5.9,61.8
5.5,61.3
5.3,69.0
5.0,62.0
4.5,59.8
13.2,73.6
13.2,73.4
13.1,72.1
13.0,73.1
12.9,72.7
12.9,73.6
12.8,73.3
12.7,72.9
12.6,72.3
12.6,69.7
12.5,69.3
12.4,73.0
12.3,71.4
12.3,71.2
12.2,72.0
14.0,76.0
13.4,76.0
13.3,75.5
13.2,75.3
13.1,75.0
13.1,75.1
13.0,74.6
12.9,74.7
12.8,74.4
12.8,74.2
12.7,74.4
12.6,74.4
12.5,73.6
12.4,73.4
12.4,72.8
13.2,73.3
13.2,73.0
13.2,73.0
13.0,72.0
12.9,72.0
12.8,71.4
13.4,71.7
12.9,71.2
12.9,75.0
12.7,71.0
12.4,70.0
12.0,69.9
11.8,73.0
11.6,68.9
11.3,69.0
9.2,57.9
5.0,62.9
5.1,62.1
5.2,61.4
5.2,67.0
5.3,62.0
5.3,59.7
5.4,59.4
5.0,59.1
4.7,58.8
4.4,58.5
16.5,77.3
16.5,76.9
16.5,76.3
16.4,76.1
16.2,75.6
16.1,74.9
16.1,74.2
16.1,73.0
16.1,73.0
15.9,72.8
15.7,72.3
8.4,64.2
8.4,63.7
8.4,63.3
8.2,62.6
8.1,61.8
8.1,68.0
7.6,59.8
7.1,58.5
15.2,69.7
15.0,69.6
14.9,69.4
14.7,69.2
14.6,69.1
14.5,68.9
14.3,68.7
14.2,68.6
14.0,68.5
13.9,68.3
13.4,68.1
13.3,68.0
13.3,67.9
13.2,67.8
13.1,67.7
16.2,82.2
16.2,82.0
16.1,81.5
16.1,81.7
16.0,81.3
16.0,81.1
16.1,89.0
16.1,89.0
16.1,86.0
15.5,81.0
15.5,82.0
15.4,79.3
15.5,79.2
15.6,79.0
15.7,78.8
12.6,65.5
12.5,64.6
12.5,63.5
12.5,62.8
12.5,62.3
12.4,61.7
12.4,61.6
12.4,61.6
12.4,61.4
12.4,65.0
